[2011-10-04 10:06:19]	--------------------------------------------------------------
[2011-10-04 10:35:55]	ready     : 0.0005
[2011-10-04 10:35:55]	lineReady : 0.0004
[2011-10-04 10:35:55]	dataCheck : 0.0398
[2011-10-04 10:35:55]	insPost   : 0.0005
[2011-10-04 10:35:55]	delMeta   : 0.0101
[2011-10-04 10:35:55]	addMeta   : 0.0125
[2011-10-04 10:35:55]	addOption : 0.021
[2011-10-04 10:35:55]	addSku    : 0.0017
[2011-10-04 10:35:55]	oneline   : 0.0652
[2011-10-04 10:35:55]	finish    : 0.1966
[2011-10-04 10:35:55]	totalLines: 3
[2011-10-04 10:35:55]	--------------------------------------------------------------
[2011-10-04 10:38:14]	ready     : 0.0019
[2011-10-04 10:38:14]	lineReady : 0.0007
[2011-10-04 10:38:14]	dataCheck : 0.2698
[2011-10-04 10:38:14]	insPost   : 0.0009
[2011-10-04 10:38:14]	delMeta   : 0.0158
[2011-10-04 10:38:14]	addMeta   : 0.017
[2011-10-04 10:38:14]	addOption : 0.1512
[2011-10-04 10:38:14]	addSku    : 0.0042
[2011-10-04 10:38:14]	oneline   : 0.3087
[2011-10-04 10:38:14]	finish    : 0.9285
[2011-10-04 10:38:14]	totalLines: 3
[2011-10-04 10:38:14]	--------------------------------------------------------------
[2011-10-04 10:45:43]	ready     : 0.0008
[2011-10-04 10:45:43]	lineReady : 0.0007
[2011-10-04 10:45:43]	dataCheck : 0.0471
[2011-10-04 10:45:43]	insPost   : 0.0006
[2011-10-04 10:45:43]	delMeta   : 0.0099
[2011-10-04 10:45:43]	addMeta   : 0.0104
[2011-10-04 10:45:43]	addOption : 0.0214
[2011-10-04 10:45:43]	addSku    : 0.0019
[2011-10-04 10:45:43]	oneline   : 0.0708
[2011-10-04 10:45:43]	finish    : 0.2135
[2011-10-04 10:45:43]	totalLines: 3
[2011-10-04 10:45:43]	--------------------------------------------------------------
[2011-10-04 10:50:41]	ready     : 0.0006
[2011-10-04 10:50:41]	lineReady : 0.0004
[2011-10-04 10:50:41]	dataCheck : 0.0381
[2011-10-04 10:50:41]	insPost   : 0.0007
[2011-10-04 10:50:41]	delMeta   : 0.0096
[2011-10-04 10:50:41]	addMeta   : 0.0105
[2011-10-04 10:50:41]	addOption : 0.0208
[2011-10-04 10:50:41]	addSku    : 0.0015
[2011-10-04 10:50:41]	oneline   : 0.061
[2011-10-04 10:50:41]	finish    : 0.184
[2011-10-04 10:50:41]	totalLines: 3
[2011-10-04 10:50:41]	--------------------------------------------------------------
[2011-10-04 11:14:32]	ready     : 0.0008
[2011-10-04 11:14:32]	lineReady : 0.0005
[2011-10-04 11:14:32]	dataCheck : 0.0391
[2011-10-04 11:14:32]	insPost   : 0.0005
[2011-10-04 11:14:32]	delMeta   : 0.0095
[2011-10-04 11:14:32]	addMeta   : 0.0104
[2011-10-04 11:14:32]	addOption : 0.0207
[2011-10-04 11:14:32]	addSku    : 0.0016
[2011-10-04 11:14:32]	oneline   : 0.0622
[2011-10-04 11:14:32]	finish    : 0.1879
[2011-10-04 11:14:32]	totalLines: 3
[2011-10-04 11:14:32]	--------------------------------------------------------------
[2011-10-04 11:29:45]	ready     : 0.0222
[2011-10-04 11:29:45]	lineReady : 0.0007
[2011-10-04 11:29:45]	dataCheck : 0.0669
[2011-10-04 11:29:45]	insPost   : 0.0021
[2011-10-04 11:29:45]	delMeta   : 0.0307
[2011-10-04 11:29:45]	addMeta   : 0.0306
[2011-10-04 11:29:45]	addOption : 0.0018
[2011-10-04 11:29:45]	addSku    : 0.0019
[2011-10-04 11:29:45]	oneline   : 0.1345
[2011-10-04 11:29:45]	finish    : 134.9133
[2011-10-04 11:29:45]	totalLines: 1003
[2011-10-04 11:29:45]	--------------------------------------------------------------
[2011-10-05 18:36:17]	ready     : 0.1223
[2011-10-05 18:36:17]	lineReady : 0.0005
[2011-10-05 18:36:17]	dataCheck : 0.0428
[2011-10-05 18:36:17]	insPost   : 0.0031
[2011-10-05 18:36:17]	delMeta   : 0.0887
[2011-10-05 18:36:17]	addMeta   : 0.0204
[2011-10-05 18:36:17]	addOption : 0.009
[2011-10-05 18:36:17]	addSku    : 0.0007
[2011-10-05 18:36:17]	oneline   : 0.157
[2011-10-05 18:36:17]	finish    : 1.3785
[2011-10-05 18:36:17]	totalLines: 8
[2011-10-05 18:36:17]	--------------------------------------------------------------
[2011-10-05 19:34:17]	ready     : 0.1187
[2011-10-05 19:34:17]	lineReady : 0.0004
[2011-10-05 19:34:17]	dataCheck : 0.0396
[2011-10-05 19:34:17]	insPost   : 0
[2011-10-05 19:34:17]	delMeta   : 1315180445.711
[2011-10-05 19:34:17]	addMeta   : 0.0349
[2011-10-05 19:34:17]	addOption : 0.0015
[2011-10-05 19:34:17]	addSku    : 0.0032
[2011-10-05 19:34:17]	oneline   : 0.0944
[2011-10-05 19:34:17]	finish    : 94.8022
[2011-10-05 19:34:17]	totalLines: 1002
[2011-10-05 19:34:17]	--------------------------------------------------------------
